version,nthread,num_steps,runtime
"reduce",2,10000000,0.0045329998
"atomic",2,10000000,0.43136701
"n_reduce",2,10000000,  0.004979
"critical",2,10000000,  0.272457
"reduce",2,10000000,   0.00453
"atomic",2,10000000,  0.246392
"n_reduce",2,10000000,0.0044809999
"critical",2,10000000,  0.284702
"reduce",2,10000000,0.0044849999
"atomic",2,10000000,0.31502301
"n_reduce",2,10000000,0.0046020001
"critical",2,10000000,  0.325046
"reduce",2,10000000,0.0045929998
"atomic",2,10000000,  0.263437
"n_reduce",2,10000000,0.0048059998
"critical",2,10000000,  0.229471
"reduce",2,10000000,  0.004497
"atomic",2,10000000,   0.30078
"n_reduce",2,10000000,0.0047780001
"critical",4,10000000,  0.708161
"reduce",4,10000000,  0.002319
"atomic",4,10000000,0.43055499
"n_reduce",4,10000000,0.0045540002
"critical",4,10000000,  0.670219
"reduce",4,10000000,0.0023050001
"atomic",4,10000000,  0.490042
"n_reduce",4,10000000,  0.002287
"critical",4,10000000,0.64853603
"reduce",4,10000000,0.0023390001
"atomic",4,10000000,0.43512499
"n_reduce",4,10000000,0.0023399999
"critical",4,10000000,0.63076299
"reduce",4,10000000,  0.002723
"atomic",4,10000000,0.41692299
"n_reduce",4,10000000,0.0024250001
"critical",4,10000000,0.66873002
"reduce",4,10000000,0.0028510001
"atomic",4,10000000,0.50585097
"n_reduce",4,10000000,  0.002512
"critical",4,10000000,0.63432503
"reduce",4,10000000,  0.002295
"atomic",4,10000000,  0.459048
"n_reduce",4,10000000,0.0031069999
"critical",4,10000000,0.66796702
"reduce",4,10000000,0.0023340001
"atomic",4,10000000,  0.446251
"n_reduce",4,10000000,0.0023050001
"critical",4,10000000,0.63887602
"reduce",4,10000000,  0.002321
"atomic",4,10000000,0.40607601
"n_reduce",4,10000000,  0.002293
"critical",4,10000000,0.67829901
"reduce",4,10000000,0.0023080001
"atomic",4,10000000,0.44857699
"n_reduce",4,10000000,  0.002299
"critical",4,10000000,0.65385801
"reduce",4,10000000,0.0022829999
"atomic",4,10000000,0.44155601
"n_reduce",4,10000000,  0.002323
"critical",8,10000000,0.91519201
"reduce",8,10000000,0.0023640001
