name,nb_threads,n,runtime
3_1 parallelized nodes,4,5,1.299291
3_2 parallelized n r,4,5,0.96873
3 sequential,4,5,2.352002
3_1 parallelized nodes,4,5,1.20524
3_2 parallelized n r,4,5,1.025751
3 sequential,4,5,2.343885
3_1 parallelized nodes,4,5,1.224802
3_2 parallelized n r,4,5,0.950053
3 sequential,4,5,2.333917
3_1 parallelized nodes,4,5,1.223972
3_2 parallelized n r,4,5,0.973932
3 sequential,4,5,2.350282
3_1 parallelized nodes,4,5,1.221292
3_2 parallelized n r,4,5,0.946961
3 sequential,4,5,2.350246
3_1 parallelized nodes,4,5,1.24645
3_2 parallelized n r,4,5,0.917766
3 sequential,8,5,2.339468
3_1 parallelized nodes,8,5,1.137195
3_2 parallelized n r,8,5,0.682537
3 sequential,8,5,2.344858
3_1 parallelized nodes,8,5,1.128494
3_2 parallelized n r,8,5,0.696583
3 sequential,8,5,2.326134
3_1 parallelized nodes,8,5,1.088055
3_2 parallelized n r,8,5,0.67058
3 sequential,8,5,2.34126
3_1 parallelized nodes,8,5,1.09703
3_2 parallelized n r,8,5,0.639609
3 sequential,8,5,2.337102
3_1 parallelized nodes,8,5,1.066973
3_2 parallelized n r,8,5,0.647805
3 sequential,8,5,2.331375
3_1 parallelized nodes,8,5,1.099936
3_2 parallelized n r,8,5,0.661363
3 sequential,8,5,2.35174
3_1 parallelized nodes,8,5,1.143128
3_2 parallelized n r,8,5,0.656568
3 sequential,8,5,2.333148
3_1 parallelized nodes,8,5,1.123617
3_2 parallelized n r,8,5,0.642075
3 sequential,8,5,2.344039
3_1 parallelized nodes,8,5,1.07569
3_2 parallelized n r,8,5,0.709002
3 sequential,8,5,2.367364
3_1 parallelized nodes,8,5,1.184101
3_2 parallelized n r,8,5,0.687683
